Compound_Name,CAS_Number,Odor_Description,RI_OV101,RI_DB5,RI_OV17,RI_C20M
butylmethoxypyrazine,24168-70-5,"carrot, earth",1159,1176,1223,1500
phenylethylthiol,4410-99-5,rubber,1159,1176,1267,1622
(epoxymethylbutyl)-methylfuran,92356-06-4,"green, earth, citrus",1161,1178,1269,1526
(Z)-3-hexenyl butanoate,16491-36-4,"wine, green",1161,1178,1269,1526
ethenyl-ethylmethylpyrazine,181589-32-2,earth,1163,1180,1250,1587
S-(2-furfuryl)-ethanethioate,13678-68-7,roast,1163,1180,1271,1785
epoxy-2-octenal,134452-45-2,metal,1164,1181,1330,1587
methylisoborneol,2371-42-8,"earth, must",1165,1182,1273,1587
dimethyloctadienal,72203-98-6,green,1166,1183,1274,1531
hexyl butanoate,2639-63-6,apple peel,1168,1185,1276,1533
ethyl benzoate,93-89-0,"camomile, flower, celery, fruit",1168,1185,1276,1648
lavandulol,498-16-8,herb,1169,1186,1420,1677
dill ether,74410-10-9,dill,1170,1187,1272,1529
2-nonanol,628-99-9,cucumber,1170,1187,1278,1535
(Z)-3-hexenyl-2-methylbutanoate,53398-85-9,"herb, sweet",1174,1191,1282,1539
4-acetyltoluene,122-00-9,bitter almond,1174,1191,1332,1759
pentylpyridine,2294-76-0,fat,1175,1192,1032,1289
isobutylmethoxypyrazine,24683-00-9,"earth, spice, green pepper",1175,1186,1237,1510
butyl hexanoate,626-82-4,fruit,1175,1192,1283,1540
o-cresol,95-48-7,phenol,1175,1192,1283,2017
abhexone,698-10-2,spice,1176,1193,1433,2247
nitro-phenylethane,6125-24-2,"flower, spice",1177,1194,1285,1385
dihydrocarveol,619-01-2,"mint, spice",1177,1190,1281,1538
(Z)-dihydrocarvone,3792-53-8,"herb, warm",1178,1195,1286,1543
"(E,Z)-2,4-nonadienal",21661-99-4,"geranium, pungent",1179,1196,1287,1544
carveol,99-48-9,"fresh, spearmint, caraway",1180,1197,1288,1545
borneol,507-70-0,camphor,1180,1162,1253,1677
ethyl octanoate,106-32-1,"fruit, fat",1182,1198,1260,1436
1-terpinen-4-ol,562-74-3,"turpentine, nutmeg, must",1182,1179,1273,1591
neoisomenthol,491-02-1,menthol,1182,1199,1389,1646
(Z)-4-decenal,21662-09-9,"green, must",1183,1200,1291,1544
"2,4-nonadienal",6750-03-4,watermelon,1183,1200,1319,1549
estragole,140-67-0,"licorice, anise",1183,1200,1291,1655
ethyl octenoate,2351-90-8,"must, oil, fruit, pungent",1185,1202,1293,1550
(E)-dihydrocarvone,5948-04-9,"warm, herb",1185,1202,1293,1550
6-decenal,105683-99-6,"tallow, green",1186,1203,1294,1233
decanal,112-31-2,"soap, orange peel, tallow",1186,1209,1303,1484
6-decenal,147159-48-6,cucumber,1186,1203,1300,1557
dimethyl tetrasulfide,5756-24-1,"cabbage, sulfur",1188,1232,1323,1580
linalool oxide,1365-19-1,"flower, wood",1195,1212,1166,1423
isodihydrocarveol,18675-35-9,"wood, spice",1197,1214,1305,1562
naphthalene,91-20-3,tar,1197,1214,1461,1718
isobutyric acid,79-31-2,"rancid, butter, cheese",1198,1215,1306,1563
dodecane,112-40-3,alkane,1200,1200,1200,1200
"2,4-nonadienal",5910-87-2,"fat, wax, green",1200,1217,1339,1709
p-cymenol,1197-01-9,"citrus, must",1200,1166,1343,1838
